id;email;ip;city;country;latitude;longitude;user_agent;platform;language;screen_width;screen_height;pixel_ratio;cookies_enabled;fingerprint;timestamp;gemini_explanation;risk_breakdown;risk_explanation;risk_score
1;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-6.197.073;1.068.164.674;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:24:24;;;;
2;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-6.197.073;1.068.164.674;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:24:42;;;;
3;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-6.197.073;1.068.164.674;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:25:12;;;;
4;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.644;1.068.164.542;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:26:05;;;;
5;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.755;1.068.164.673;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:36:18;;;;
6;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.964.288;106.856.448;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:37:00;;;;
7;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.964.288;106.856.448;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:44:13;;;;
8;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.964.288;106.856.448;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:48:15;;;;
9;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.964.288;106.856.448;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:52:49;;;;
10;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.676;1.068.164.597;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:53:08;;;;
11;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.709;1.068.164.571;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:57:48;;;;
12;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.709;1.068.164.571;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 21:58:13;;;;
13;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.699;1.068.164.493;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 22:10:05;;;;
14;user1@example.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.651;1.068.164.707;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 22:19:40;;;;
15;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.651;1.068.164.707;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 22:20:04;;;;
16;admin@email.com;103.171.163.160;Special capital Region of Jakarta;Indonesia;-61.970.651;1.068.164.707;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";Win32;en-US;1536;864;1.25;1;732da8d2ec04bc41938862957ffb1c3d;2025-06-23 22:20:10;;;;
